menu_item_id,menu_item_name,ingredient,ingredient_category,quantity_per_item,unit,prep_group,shelf_life_days,complexity_weight
6,Gado Gado,peanut sauce,Sauces,80,ml,Sauce Prep,7,3
6,Gado Gado,rice cake,Starches,40,g,Cold Assembly,5,1
6,Gado Gado,cucumber,Produce,40,g,Cold Assembly,7,1
7,Roti Canai,roti dough,Starches,150,g,Wok Station,3,3
7,Roti Canai,curry dipping sauce,Sauces,60,ml,Sauce Prep,7,3
7,Roti Canai,cooking oil,Oils,30,ml,Wok Station,180,1
8,Breaded Cauliflower Bites,cauliflower,Produce,200,g,Fry Station,7,2
8,Breaded Cauliflower Bites,batter mix,Starches,60,g,Fry Station,90,1
8,Breaded Cauliflower Bites,cooking oil,Oils,200,ml,Fry Station,180,1
8,Breaded Cauliflower Bites,mango chili dip,Sauces,40,ml,Sauce Prep,7,3
9,Crispy Chicken Strips,vegan chicken,Proteins,180,g,Fry Station,5,2
9,Crispy Chicken Strips,batter mix,Starches,50,g,Fry Station,90,1
9,Crispy Chicken Strips,cooking oil,Oils,200,ml,Fry Station,180,1
9,Crispy Chicken Strips,hot sauce,Sauces,30,ml,Sauce Prep,30,2
10,Bean Curd Drumsticks,bean curd sheets,Proteins,160,g,Fry Station,7,3
10,Bean Curd Drumsticks,seasoning blend,Aromatics,10,g,Fry Station,180,1
10,Bean Curd Drumsticks,hot sauce,Sauces,30,ml,Sauce Prep,30,2
10,Bean Curd Drumsticks,bamboo skewers,Supplies,3,pc,Fry Station,365,1
11,Fried Enoki Mushroom,enoki mushrooms,Produce,200,g,Fry Station,5,2
11,Fried Enoki Mushroom,tempura batter,Starches,60,g,Fry Station,90,1
11,Fried Enoki Mushroom,cooking oil,Oils,200,ml,Fry Station,180,1
11,Fried Enoki Mushroom,miso aioli,Sauces,40,ml,Sauce Prep,7,3
12,Wonton Soup,wonton wrappers,Starches,8,pc,Soup Station,7,3
12,Wonton Soup,wonton filling,Proteins,100,g,Soup Station,3,4
12,Wonton Soup,carrots,Produce,40,g,Soup Station,14,1
12,Wonton Soup,bok choy,Produce,60,g,Soup Station,5,1
12,Wonton Soup,broccoli,Produce,50,g,Soup Station,7,1
12,Wonton Soup,mushrooms,Produce,40,g,Soup Station,5,1
12,Wonton Soup,vegan broth,Sauces,400,ml,Soup Station,5,2
13,Tom Yum Soup,lemongrass,Aromatics,2,stalks,Soup Station,14,2
13,Tom Yum Soup,lime leaves,Aromatics,4,pc,Soup Station,7,1
13,Tom Yum Soup,galangal,Aromatics,15,g,Soup Station,14,2
13,Tom Yum Soup,vegan seafood mix,Proteins,100,g,Soup Station,5,2
13,Tom Yum Soup,mushrooms,Produce,60,g,Soup Station,5,1
13,Tom Yum Soup,firm tofu,Proteins,80,g,Soup Station,7,1
13,Tom Yum Soup,tom yum paste,Sauces,40,g,Sauce Prep,60,3
13,Tom Yum Soup,seasonal vegetables,Produce,80,g,Soup Station,5,1
14,Spicy Curry Noodle Soup,hakka noodles,Starches,180,g,Soup Station,3,2
14,Spicy Curry Noodle Soup,red curry paste,Sauces,40,g,Sauce Prep,60,3
14,Spicy Curry Noodle Soup,coconut milk,Dairy Alternatives,200,ml,Soup Station,14,1
14,Spicy Curry Noodle Soup,fried tofu,Proteins,80,g,Fry Station,7,2
14,Spicy Curry Noodle Soup,oyster mushroom,Produce,60,g,Soup Station,5,1
14,Spicy Curry Noodle Soup,baby corn,Produce,40,g,Soup Station,14,1
14,Spicy Curry Noodle Soup,bean sprouts,Produce,40,g,Soup Station,3,1
14,Spicy Curry Noodle Soup,cilantro,Aromatics,5,g,Soup Station,5,1
80,Vegetable Combo Soup,vegan broth,Sauces,400,ml,Soup Station,5,2
80,Vegetable Combo Soup,mixed vegetables,Produce,150,g,Soup Station,5,1
80,Vegetable Combo Soup,firm tofu,Proteins,60,g,Soup Station,7,1
80,Vegetable Combo Soup,mushrooms,Produce,40,g,Soup Station,5,1
80,Vegetable Combo Soup,napa cabbage,Produce,50,g,Soup Station,7,1
15,Padmanadi Vegetable Deluxe,firm tofu,Proteins,100,g,Wok Station,7,2
15,Padmanadi Vegetable Deluxe,mixed vegetables,Produce,200,g,Wok Station,5,1
15,Padmanadi Vegetable Deluxe,stir-fry sauce,Sauces,40,ml,Sauce Prep,14,2
15,Padmanadi Vegetable Deluxe,garlic,Aromatics,10,g,Wok Station,30,1
15,Padmanadi Vegetable Deluxe,cooking oil,Oils,30,ml,Wok Station,180,1
16,Chili Green Beans,green beans,Produce,200,g,Wok Station,7,1
16,Chili Green Beans,black bean sauce,Sauces,50,ml,Sauce Prep,60,2
16,Chili Green Beans,garlic,Aromatics,10,g,Wok Station,30,1
16,Chili Green Beans,cooking oil,Oils,30,ml,Wok Station,180,1
17,Spicy String Beans,green beans,Produce,200,g,Wok Station,7,2
17,Spicy String Beans,tomatoes,Produce,60,g,Wok Station,7,1
17,Spicy String Beans,chinese radish,Produce,40,g,Wok Station,14,1
17,Spicy String Beans,coconut sauce,Sauces,60,ml,Sauce Prep,7,3
17,Spicy String Beans,chili,Aromatics,5,g,Wok Station,14,1
18,King Oyster Mushroom Gaylan,gaylan (chinese broccoli),Produce,150,g,Wok Station,5,2
18,King Oyster Mushroom Gaylan,king oyster mushroom,Produce,120,g,Wok Station,5,2
18,King Oyster Mushroom Gaylan,ginger,Aromatics,15,g,Wok Station,21,1
18,King Oyster Mushroom Gaylan,oyster mushroom sauce,Sauces,50,ml,Sauce Prep,30,2
18,King Oyster Mushroom Gaylan,cooking oil,Oils,30,ml,Wok Station,180,1
19,Savory Eggplant,chinese eggplant,Produce,200,g,Wok Station,7,2
19,Savory Eggplant,bell peppers,Produce,60,g,Wok Station,7,1
19,Savory Eggplant,sweet chili sauce,Sauces,50,ml,Sauce Prep,60,2
19,Savory Eggplant,cooking oil,Oils,40,ml,Wok Station,180,1
20,Spicy Coconut Eggplant,chinese eggplant,Produce,200,g,Wok Station,7,2
20,Spicy Coconut Eggplant,tomatoes,Produce,60,g,Wok Station,7,1
20,Spicy Coconut Eggplant,bell peppers,Produce,50,g,Wok Station,7,1
20,Spicy Coconut Eggplant,coconut sauce,Sauces,60,ml,Sauce Prep,7,3
20,Spicy Coconut Eggplant,chili,Aromatics,5,g,Wok Station,14,1
21,Mapo Tofu,silken tofu,Proteins,200,g,Wok Station,5,2
21,Mapo Tofu,vegan ground meat,Proteins,80,g,Wok Station,5,2
21,Mapo Tofu,mixed vegetables,Produce,60,g,Wok Station,5,1
21,Mapo Tofu,mushrooms,Produce,40,g,Wok Station,5,1
21,Mapo Tofu,chili bean paste,Sauces,30,g,Sauce Prep,180,3
21,Mapo Tofu,sichuan peppercorn,Aromatics,2,g,Wok Station,180,1
22,Pan-Fried Broccoli & Cauliflower,broccoli,Produce,150,g,Wok Station,7,1
22,Pan-Fried Broccoli & Cauliflower,cauliflower,Produce,150,g,Wok Station,7,1
22,Pan-Fried Broccoli & Cauliflower,soy sauce,Sauces,20,ml,Wok Station,365,1
22,Pan-Fried Broccoli & Cauliflower,cooking oil,Oils,30,ml,Wok Station,180,1
23,Curry Vegetables & Tofu,firm tofu,Proteins,100,g,Wok Station,7,2
23,Curry Vegetables & Tofu,broccoli,Produce,50,g,Wok Station,7,1
23,Curry Vegetables & Tofu,cauliflower,Produce,50,g,Wok Station,7,1
23,Curry Vegetables & Tofu,cabbage,Produce,40,g,Wok Station,7,1
23,Curry Vegetables & Tofu,carrots,Produce,40,g,Wok Station,14,1
23,Curry Vegetables & Tofu,baby corn,Produce,30,g,Wok Station,14,1
23,Curry Vegetables & Tofu,bell peppers,Produce,40,g,Wok Station,7,1
23,Curry Vegetables & Tofu,chinese eggplant,Produce,40,g,Wok Station,7,1
23,Curry Vegetables & Tofu,yellow coconut curry sauce,Sauces,120,ml,Sauce Prep,5,4
24,Tempeh Pulau,tempeh,Proteins,150,g,Wok Station,5,3
24,Tempeh Pulau,potatoes,Produce,100,g,Wok Station,21,1
24,Tempeh Pulau,mixed vegetables,Produce,80,g,Wok Station,5,1
24,Tempeh Pulau,island spice blend,Aromatics,15,g,Sauce Prep,90,3
24,Tempeh Pulau,coconut milk,Dairy Alternatives,60,ml,Wok Station,14,1
25,Mushroom Tofu,fried tofu,Proteins,150,g,Fry Station,7,2
25,Mushroom Tofu,button mushrooms,Produce,60,g,Wok Station,5,1
25,Mushroom Tofu,shimeji mushrooms,Produce,60,g,Wok Station,5,2
25,Mushroom Tofu,oyster mushroom sauce,Sauces,50,ml,Sauce Prep,30,2
25,Mushroom Tofu,cooking oil,Oils,30,ml,Wok Station,180,1
26,Chili Tofu,fried tofu,Proteins,150,g,Fry Station,7,2
26,Chili Tofu,chili peppers,Produce,30,g,Wok Station,7,1
26,Chili Tofu,baby corn,Produce,40,g,Wok Station,14,1
26,Chili Tofu,carrots,Produce,40,g,Wok Station,14,1
26,Chili Tofu,green peas,Produce,30,g,Wok Station,365,1
26,Chili Tofu,tomatoes,Produce,40,g,Wok Station,7,1
26,Chili Tofu,chili sauce,Sauces,50,ml,Sauce Prep,30,2
27,Kung Pao Chicken,vegan chicken,Proteins,180,g,Wok Station,5,2
27,Kung Pao Chicken,celery,Produce,50,g,Wok Station,10,1
27,Kung Pao Chicken,bell peppers,Produce,50,g,Wok Station,7,1
27,Kung Pao Chicken,carrots,Produce,40,g,Wok Station,14,1
27,Kung Pao Chicken,cashews,Nuts & Seeds,25,g,Wok Station,90,1
27,Kung Pao Chicken,kung pao sauce,Sauces,50,ml,Sauce Prep,14,3
28,Ginger Beef,vegan beef strips,Proteins,200,g,Wok Station,5,3
28,Ginger Beef,bell peppers,Produce,60,g,Wok Station,7,1
28,Ginger Beef,carrots,Produce,60,g,Wok Station,14,1
28,Ginger Beef,ginger sauce,Sauces,60,ml,Sauce Prep,7,3
28,Ginger Beef,ginger,Aromatics,20,g,Wok Station,21,1
28,Ginger Beef,cooking oil,Oils,40,ml,Wok Station,180,1
29,Dendeng,vegan beef strips,Proteins,200,g,Fry Station,5,3
29,Dendeng,kecap manis,Sauces,40,ml,Sauce Prep,180,2
29,Dendeng,shallots,Aromatics,20,g,Fry Station,30,1
29,Dendeng,cooking oil,Oils,100,ml,Fry Station,180,1
30,Sweet & Sour Chicken,vegan chicken,Proteins,180,g,Wok Station,5,2
30,Sweet & Sour Chicken,pineapple,Produce,50,g,Wok Station,5,1
30,Sweet & Sour Chicken,green peas,Produce,30,g,Wok Station,365,1
30,Sweet & Sour Chicken,cucumber,Produce,30,g,Wok Station,7,1
30,Sweet & Sour Chicken,carrots,Produce,40,g,Wok Station,14,1
30,Sweet & Sour Chicken,bell peppers,Produce,50,g,Wok Station,7,1
30,Sweet & Sour Chicken,sweet & sour sauce,Sauces,60,ml,Sauce Prep,14,2
31,Spicy Chicken,vegan chicken,Proteins,180,g,Wok Station,5,2
31,Spicy Chicken,carrots,Produce,40,g,Wok Station,14,1
31,Spicy Chicken,baby corn,Produce,40,g,Wok Station,14,1
31,Spicy Chicken,green peas,Produce,30,g,Wok Station,365,1
31,Spicy Chicken,bell peppers,Produce,40,g,Wok Station,7,1
31,Spicy Chicken,tomatoes,Produce,40,g,Wok Station,7,1
31,Spicy Chicken,chili sauce,Sauces,50,ml,Sauce Prep,30,2
32,General Tao Chicken,vegan chicken,Proteins,200,g,Wok Station,5,3
32,General Tao Chicken,cucumber,Produce,40,g,Wok Station,7,1
32,General Tao Chicken,bell peppers,Produce,50,g,Wok Station,7,1
32,General Tao Chicken,carrots,Produce,40,g,Wok Station,14,1
32,General Tao Chicken,general tao sauce,Sauces,60,ml,Sauce Prep,14,3
32,General Tao Chicken,sesame seeds,Nuts & Seeds,5,g,Wok Station,180,1
33,Curry Chicken,vegan chicken,Proteins,180,g,Wok Station,5,3
33,Curry Chicken,potatoes,Produce,80,g,Wok Station,21,1
33,Curry Chicken,mixed vegetables,Produce,80,g,Wok Station,5,1
33,Curry Chicken,yellow coconut curry sauce,Sauces,150,ml,Sauce Prep,5,4
33,Curry Chicken,coconut milk,Dairy Alternatives,100,ml,Wok Station,14,1
34,Curry Mutton,vegan mutton,Proteins,180,g,Wok Station,5,3
34,Curry Mutton,potatoes,Produce,80,g,Wok Station,21,1
34,Curry Mutton,mixed vegetables,Produce,80,g,Wok Station,5,1
34,Curry Mutton,yellow coconut curry sauce,Sauces,150,ml,Sauce Prep,5,4
34,Curry Mutton,coconut milk,Dairy Alternatives,100,ml,Wok Station,14,1
35,Sweet & Sour Shrimp,vegan shrimp,Proteins,180,g,Fry Station,5,3
35,Sweet & Sour Shrimp,batter mix,Starches,40,g,Fry Station,90,1
35,Sweet & Sour Shrimp,bell peppers,Produce,50,g,Wok Station,7,1
35,Sweet & Sour Shrimp,green peas,Produce,30,g,Wok Station,365,1
35,Sweet & Sour Shrimp,pineapple,Produce,50,g,Wok Station,5,1
35,Sweet & Sour Shrimp,carrots,Produce,40,g,Wok Station,14,1
35,Sweet & Sour Shrimp,sweet & sour sauce,Sauces,60,ml,Sauce Prep,14,2
36,Spicy Shrimp,vegan shrimp,Proteins,180,g,Fry Station,5,3
36,Spicy Shrimp,batter mix,Starches,40,g,Fry Station,90,1
36,Spicy Shrimp,baby corn,Produce,40,g,Wok Station,14,1
36,Spicy Shrimp,chili peppers,Produce,30,g,Wok Station,7,1
36,Spicy Shrimp,green peas,Produce,30,g,Wok Station,365,1
36,Spicy Shrimp,tomatoes,Produce,40,g,Wok Station,7,1
36,Spicy Shrimp,carrots,Produce,40,g,Wok Station,14,1
36,Spicy Shrimp,chili sauce,Sauces,50,ml,Sauce Prep,30,2
37,Teriyaki Chicken,vegan chicken,Proteins,180,g,Wok Station,5,2
37,Teriyaki Chicken,celery,Produce,50,g,Wok Station,10,1
37,Teriyaki Chicken,bell peppers,Produce,50,g,Wok Station,7,1
37,Teriyaki Chicken,carrots,Produce,40,g,Wok Station,14,1
37,Teriyaki Chicken,teriyaki sauce,Sauces,50,ml,Sauce Prep,30,2
38,Rendang,vegan beef strips,Proteins,200,g,Wok Station,5,4
38,Rendang,potatoes,Produce,80,g,Wok Station,21,1
38,Rendang,coconut milk,Dairy Alternatives,150,ml,Wok Station,14,1
38,Rendang,galangal,Aromatics,15,g,Wok Station,14,2
38,Rendang,lemongrass,Aromatics,2,stalks,Wok Station,14,2
38,Rendang,lime leaves,Aromatics,3,pc,Wok Station,7,1
38,Rendang,rendang paste,Sauces,50,g,Sauce Prep,30,4
39,Nasi Goreng,jasmine rice,Starches,250,g,Rice Station,2,2
39,Nasi Goreng,vegan chicken,Proteins,80,g,Wok Station,5,2
39,Nasi Goreng,mixed diced vegetables,Produce,80,g,Wok Station,5,1
39,Nasi Goreng,kecap manis,Sauces,30,ml,Wok Station,180,1
39,Nasi Goreng,garlic,Aromatics,10,g,Wok Station,30,1
39,Nasi Goreng,cooking oil,Oils,30,ml,Wok Station,180,1
40,Bakmi Goreng,egg-style noodles,Starches,200,g,Rice Station,3,2
40,Bakmi Goreng,vegan chicken,Proteins,80,g,Wok Station,5,2
40,Bakmi Goreng,shredded vegetables,Produce,100,g,Wok Station,5,1
40,Bakmi Goreng,kecap manis,Sauces,30,ml,Wok Station,180,1
40,Bakmi Goreng,garlic,Aromatics,10,g,Wok Station,30,1
41,Bihun Goreng,rice vermicelli,Starches,180,g,Rice Station,180,1
41,Bihun Goreng,firm tofu,Proteins,80,g,Wok Station,7,1
41,Bihun Goreng,shredded vegetables,Produce,100,g,Wok Station,5,1
41,Bihun Goreng,soy sauce,Sauces,20,ml,Wok Station,365,1
41,Bihun Goreng,cooking oil,Oils,30,ml,Wok Station,180,1
42,Kwetiau Goreng,flat rice noodles,Starches,200,g,Rice Station,3,2
42,Kwetiau Goreng,vegan chicken,Proteins,80,g,Wok Station,5,2
42,Kwetiau Goreng,shredded vegetables,Produce,100,g,Wok Station,5,1
42,Kwetiau Goreng,soy sauce,Sauces,20,ml,Wok Station,365,1
42,Kwetiau Goreng,cooking oil,Oils,30,ml,Wok Station,180,1
43,Singapore Noodle,rice vermicelli,Starches,180,g,Rice Station,180,2
43,Singapore Noodle,vegan shrimp,Proteins,80,g,Wok Station,5,2
43,Singapore Noodle,curry powder,Aromatics,10,g,Wok Station,180,2
43,Singapore Noodle,mixed vegetables,Produce,100,g,Wok Station,5,1
43,Singapore Noodle,cooking oil,Oils,30,ml,Wok Station,180,1
44,Lemongrass Vermicelli Bowl,rice vermicelli,Starches,150,g,Rice Station,180,1
44,Lemongrass Vermicelli Bowl,vegan chicken,Proteins,80,g,Fry Station,5,2
44,Lemongrass Vermicelli Bowl,firm tofu,Proteins,60,g,Fry Station,7,1
44,Lemongrass Vermicelli Bowl,spring roll wrappers,Starches,2,pc,Fry Station,90,2
44,Lemongrass Vermicelli Bowl,romaine lettuce,Produce,40,g,Cold Assembly,5,1
44,Lemongrass Vermicelli Bowl,cucumber,Produce,30,g,Cold Assembly,7,1
44,Lemongrass Vermicelli Bowl,carrots,Produce,30,g,Cold Assembly,14,1
44,Lemongrass Vermicelli Bowl,vegan fish sauce,Sauces,30,ml,Sauce Prep,180,2
45,Bali Buddha Bowl,brown rice,Starches,200,g,Rice Station,2,1
45,Bali Buddha Bowl,purple cabbage,Produce,40,g,Cold Assembly,10,1
45,Bali Buddha Bowl,spinach,Produce,40,g,Cold Assembly,5,1
45,Bali Buddha Bowl,tempeh,Proteins,60,g,Cold Assembly,5,2
45,Bali Buddha Bowl,bean sprouts,Produce,30,g,Cold Assembly,3,1
45,Bali Buddha Bowl,carrots,Produce,30,g,Cold Assembly,14,1
45,Bali Buddha Bowl,firm tofu,Proteins,60,g,Cold Assembly,7,1
45,Bali Buddha Bowl,peanut dressing,Sauces,40,ml,Sauce Prep,7,2
46,Jasmine Rice,jasmine rice,Starches,200,g,Rice Station,365,1
47,Coconut Rice,jasmine rice,Starches,200,g,Rice Station,365,1
47,Coconut Rice,coconut milk,Dairy Alternatives,50,ml,Rice Station,14,2
48,Brown Rice,brown rice,Starches,200,g,Rice Station,365,1
49,Lunch Special,jasmine rice,Starches,200,g,Rice Station,365,1
49,Lunch Special,spring roll wrappers,Starches,2,pc,Fry Station,90,2
49,Lunch Special,cabbage,Produce,40,g,Fry Station,7,1
49,Lunch Special,carrots,Produce,25,g,Fry Station,14,1
49,Lunch Special,cooking oil,Oils,100,ml,Fry Station,180,1
49,Lunch Special,plum dipping sauce,Sauces,20,ml,Sauce Prep,60,2
50,Americano,espresso,Beverages,2,shots,Beverage Station,30,1
51,Soy Latte,espresso,Beverages,2,shots,Beverage Station,30,1
51,Soy Latte,soy milk,Dairy Alternatives,200,ml,Beverage Station,10,1
52,Soy Mocha,espresso,Beverages,2,shots,Beverage Station,30,1
52,Soy Mocha,soy milk,Dairy Alternatives,180,ml,Beverage Station,10,1
52,Soy Mocha,chocolate syrup,Sauces,30,ml,Beverage Station,180,1
53,Vegan Iced Coffee,espresso,Beverages,2,shots,Beverage Station,30,1
53,Vegan Iced Coffee,oat milk,Dairy Alternatives,150,ml,Beverage Station,10,1
54,Iced Brown Sugar Oat Latte,espresso,Beverages,2,shots,Beverage Station,30,1
54,Iced Brown Sugar Oat Latte,oat milk,Dairy Alternatives,200,ml,Beverage Station,10,1
54,Iced Brown Sugar Oat Latte,brown sugar syrup,Sauces,20,ml,Beverage Station,90,1
55,Decaf Coffee,decaf espresso,Beverages,2,shots,Beverage Station,30,1
56,Organic Tea,organic tea leaves,Beverages,5,g,Beverage Station,365,1
57,Soy Chai Latte,chai concentrate,Beverages,100,ml,Beverage Station,14,2
57,Soy Chai Latte,soy milk,Dairy Alternatives,150,ml,Beverage Station,10,1
58,London Fog,earl grey tea,Beverages,5,g,Beverage Station,365,1
58,London Fog,oat milk,Dairy Alternatives,150,ml,Beverage Station,10,1
58,London Fog,vanilla syrup,Sauces,15,ml,Beverage Station,180,1
59,Hot Chocolate,chocolate mix,Beverages,30,g,Beverage Station,180,1
59,Hot Chocolate,oat milk,Dairy Alternatives,200,ml,Beverage Station,10,1
60,Matcha Latte,matcha powder,Beverages,4,g,Beverage Station,180,2
60,Matcha Latte,oat milk,Dairy Alternatives,200,ml,Beverage Station,10,1
61,Iced Oat Strawberry Matcha,matcha powder,Beverages,3,g,Beverage Station,180,2
61,Iced Oat Strawberry Matcha,oat milk,Dairy Alternatives,150,ml,Beverage Station,10,1
61,Iced Oat Strawberry Matcha,strawberry puree,Beverages,40,ml,Beverage Station,7,2
62,Iced Lychee,lychee syrup,Beverages,60,ml,Beverage Station,90,1
63,Iced Pineapple,pineapple juice,Beverages,250,ml,Beverage Station,7,1
64,Sparkling Yuzu,yuzu juice,Beverages,40,ml,Beverage Station,30,1
64,Sparkling Yuzu,sparkling water,Beverages,200,ml,Beverage Station,365,1
65,Iced Passion Fruit Green Tea,green tea,Beverages,5,g,Beverage Station,365,1
65,Iced Passion Fruit Green Tea,passion fruit puree,Beverages,40,ml,Beverage Station,14,1
66,Assorted Soft Drinks,soft drink can,Beverages,1,can,Beverage Station,365,1
67,Raspberry Lime Italian Soda,raspberry syrup,Beverages,40,ml,Beverage Station,90,1
67,Raspberry Lime Italian Soda,lime juice,Beverages,15,ml,Beverage Station,14,1
67,Raspberry Lime Italian Soda,sparkling water,Beverages,200,ml,Beverage Station,365,1
68,Iced Blackberry Hibiscus Tea,hibiscus tea,Beverages,5,g,Beverage Station,365,1
68,Iced Blackberry Hibiscus Tea,blackberry puree,Beverages,30,ml,Beverage Station,7,1
69,Cheesecake,vegan cheesecake base,Desserts,1,slice,Dessert Station,5,3
70,Panna Cotta,coconut cream,Dairy Alternatives,150,ml,Dessert Station,7,3
70,Panna Cotta,agar agar,Desserts,3,g,Dessert Station,365,2
70,Panna Cotta,vanilla extract,Desserts,3,ml,Dessert Station,365,1
71,Fried Banana with Coconut Ice Cream,banana,Produce,2,pc,Dessert Station,5,1
71,Fried Banana with Coconut Ice Cream,batter mix,Starches,40,g,Fry Station,90,1
71,Fried Banana with Coconut Ice Cream,coconut ice cream,Desserts,80,g,Dessert Station,60,1
71,Fried Banana with Coconut Ice Cream,cooking oil,Oils,150,ml,Fry Station,180,1
72,Vegan Ice Cream,vegan ice cream,Desserts,120,g,Dessert Station,60,1
73,Chocolate Mousse,dark chocolate,Desserts,60,g,Dessert Station,180,2
73,Chocolate Mousse,coconut cream,Dairy Alternatives,100,ml,Dessert Station,7,2
73,Chocolate Mousse,aquafaba,Desserts,60,ml,Dessert Station,3,3
74,Extra Protein,vegan chicken,Proteins,80,g,Wok Station,5,1
75,Extra Tofu,firm tofu,Proteins,80,g,Wok Station,7,1
76,Extra Veggies,mixed vegetables,Produce,100,g,Wok Station,5,1
77,Sub Coconut Rice (+1),jasmine rice,Starches,200,g,Rice Station,365,1
77,Sub Coconut Rice (+1),coconut milk,Dairy Alternatives,50,ml,Rice Station,14,2
78,Sub Brown Rice (+1),brown rice,Starches,200,g,Rice Station,365,1
79,Add Noodles (Soup),hakka noodles,Starches,120,g,Rice Station,3,1
